GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,sentiment_label,stability_label,event_polarity,geo_zone,cluster_id,cluster_name,media_intensity,tension_score,sentiment_tb_score,sentiment_tb_label,rf_sentiment_pred,rf_sentiment_proba_neg,rf_sentiment_proba_neu,rf_sentiment_proba_pos
1229565908,2025-03-01,202503,2025,4,1,2.8,-4.007285974,NGA,UNKNOWN,BN,2,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,0.6036,-0.488,negatif,negatif,1.0,0.0,0.0
1229560425,2025-03-01,202503,2025,18,4,-9.0,-1.590457256,BEN,UNKNOWN,BN,4,neutre,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.4135,5.2952,-0.0462,neutre,neutre,0.01,0.99,0.0
1229560337,2025-03-01,202503,2025,13,3,-4.4,-1.590457256,UNKNOWN,UNKNOWN,BN,2,neutre,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,2.9952,-0.1669,negatif,neutre,0.0,1.0,0.0
1229560871,2025-03-01,202503,2025,17,4,-5.0,5.555555556,NGA,UNKNOWN,BN,2,positif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,5.2778,0.5571,positif,positif,0.0,0.0,1.0
1229607267,2025-03-02,202503,2025,4,1,1.9,-6.422018349,BEN,UNKNOWN,BN,5,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,2.261,-0.5855,negatif,negatif,1.0,0.0,0.0
1229607214,2025-03-02,202503,2025,4,1,2.8,-6.422018349,UNKNOWN,UNKNOWN,BN,5,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,1.811,-0.6235,negatif,negatif,1.0,0.0,0.0
1229607461,2025-03-02,202503,2025,17,4,-5.0,4.87804878,NGA,UNKNOWN,BN,2,positif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,4.939,0.5641,positif,positif,0.0,0.0,1.0
1229604914,2025-03-02,202503,2025,8,2,5.0,-2.402402402,BEN,UNKNOWN,BN,10,negatif,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.6161,-1.2988,-0.2173,negatif,negatif,1.0,0.0,0.0
1229604916,2025-03-02,202503,2025,8,2,7.0,-2.402402402,BEN,UNKNOWN,BN,4,negatif,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.4135,-2.2988,-0.2892,negatif,negatif,0.98,0.02,0.0
1229604921,2025-03-02,202503,2025,4,1,2.8,-1.444043321,BEN,LEG,BN,5,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,-0.678,-0.1155,neutre,neutre,0.0,1.0,0.0
1229604918,2025-03-02,202503,2025,2,1,3.0,-1.444043321,BEN,UNKNOWN,BN,2,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,-0.778,-0.2359,negatif,neutre,0.0,1.0,0.0
1229604818,2025-03-02,202503,2025,4,1,1.9,-1.444043321,UNKNOWN,UNKNOWN,BN,5,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,-0.228,-0.1357,neutre,neutre,0.0,1.0,0.0
1229604917,2025-03-02,202503,2025,3,1,5.0,-1.444043321,BEN,UNKNOWN,BN,4,neutre,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.4135,-1.778,-0.1471,neutre,neutre,0.0,1.0,0.0
1229604922,2025-03-02,202503,2025,4,1,1.9,-1.444043321,BEN,LEG,BN,5,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,-0.228,-0.1611,negatif,neutre,0.0,1.0,0.0
1229605171,2025-03-02,202503,2025,1,1,0.0,-1.444043321,UNKNOWN,GOV,BN,8,neutre,neutre,cooperation,sud_centre,0,Evenements neutres,0.5646,0.722,-0.1547,negatif,neutre,0.0,1.0,0.0
1229605172,2025-03-02,202503,2025,3,1,5.0,-1.444043321,UNKNOWN,GOV,BN,10,neutre,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.6161,-1.778,-0.295,negatif,neutre,0.04,0.96,0.0
1229605173,2025-03-02,202503,2025,4,1,2.8,-1.444043321,UNKNOWN,GOV,BN,5,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,-0.678,-0.1883,negatif,neutre,0.0,1.0,0.0
1229605453,2025-03-02,202503,2025,4,1,2.8,-2.402402402,NGA,UNKNOWN,BN,1,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.1781,-0.1988,-0.2328,negatif,negatif,0.98,0.02,0.0
1229605454,2025-03-02,202503,2025,18,4,-9.0,-2.402402402,NGA,UNKNOWN,BN,2,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,5.7012,-0.2275,negatif,negatif,0.99,0.01,0.0
1229604920,2025-03-02,202503,2025,4,1,1.9,-2.402402402,BEN,UNKNOWN,BN,1,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.1781,0.2512,-0.3225,negatif,negatif,1.0,0.0,0.0
1229552217,2025-03-01,202503,2025,17,4,-5.0,-6.825938567,BEN,CVL,BN,10,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.6161,5.913,-0.5813,negatif,negatif,1.0,0.0,0.0
1229552263,2025-03-01,202503,2025,9,2,-2.0,-6.825938567,UNKNOWN,COP,BN,3,negatif,instable,cooperation,sud_centre,0,Evenements neutres,0.3562,4.413,-0.7519,negatif,negatif,1.0,0.0,0.0
1229547636,2025-03-01,202503,2025,4,1,2.8,-6.403940887,UNKNOWN,UNKNOWN,BN,5,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,1.802,-0.5628,negatif,negatif,1.0,0.0,0.0
1229547703,2025-03-01,202503,2025,4,1,1.9,-6.403940887,BEN,UNKNOWN,BN,5,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.4604,2.252,-0.6062,negatif,negatif,1.0,0.0,0.0
1229539286,2025-03-01,202503,2025,18,4,-9.0,-5.263157895,BEN,UNKNOWN,BN,2,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,7.1316,-0.578,negatif,negatif,1.0,0.0,0.0
1229539285,2025-03-01,202503,2025,18,4,-9.0,-5.263157895,BEN,UNKNOWN,BN,2,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,7.1316,-0.3843,negatif,negatif,1.0,0.0,0.0
1220644380,2025-01-15,202501,2025,4,1,2.8,3.20610687,BEN,UNKNOWN,BN09,6,positif,stable,cooperation,sud_centre,0,Evenements neutres,0.5,0.2031,0.2251,positif,positif,0.0,0.02,0.98
1220630084,2025-01-15,202501,2025,4,1,1.9,4.096834264,BEN,UNKNOWN,BN,10,positif,stable,cooperation,sud_centre,0,Evenements neutres,0.6161,1.0984,0.4832,positif,positif,0.0,0.0,1.0
1220630085,2025-01-15,202501,2025,4,1,2.8,4.096834264,BEN,UNKNOWN,BN,10,positif,stable,cooperation,sud_centre,0,Evenements neutres,0.6161,0.6484,0.4897,positif,positif,0.0,0.0,1.0
1220637212,2025-01-15,202501,2025,19,4,-10.0,-5.029585799,BEN,MIL,BN,10,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.6161,7.5148,-0.5566,negatif,negatif,1.0,0.0,0.0
1220582938,2025-01-14,202501,2025,1,1,-0.4,-1.373626374,BEN,UNKNOWN,BN,4,neutre,neutre,cooperation,sud_centre,0,Evenements neutres,0.4135,0.8868,-0.026,neutre,neutre,0.0,1.0,0.0
1220622304,2025-01-15,202501,2025,1,1,0.0,-2.394366197,BEN,UNKNOWN,BN,10,negatif,neutre,cooperation,sud_centre,0,Evenements neutres,0.6161,1.1972,-0.2594,negatif,negatif,1.0,0.0,0.0
1220629975,2025-01-15,202501,2025,4,1,1.9,4.096834264,UNKNOWN,UNKNOWN,BN,10,positif,stable,cooperation,sud_centre,0,Evenements neutres,0.6161,1.0984,0.4328,positif,positif,0.0,0.0,1.0
1220629976,2025-01-15,202501,2025,4,1,2.8,4.096834264,UNKNOWN,UNKNOWN,BN,10,positif,stable,cooperation,sud_centre,0,Evenements neutres,0.6161,0.6484,0.4305,positif,positif,0.0,0.0,1.0
1220695829,2025-01-15,202501,2025,12,3,-4.0,-0.708306504,UNKNOWN,LEG,BN,8,neutre,tres_instable,cooperation,sud_centre,1,Conflits et tensions,0.5646,2.3542,-0.0816,neutre,neutre,0.0,1.0,0.0
1220580317,2025-01-14,202501,2025,12,3,-4.0,-0.845253576,UNKNOWN,LEG,BN,8,neutre,tres_instable,cooperation,sud_centre,1,Conflits et tensions,0.5646,2.4226,-0.0197,neutre,neutre,0.0,1.0,0.0
1220640357,2025-01-15,202501,2025,3,1,5.2,3.868887695,BEN,UNKNOWN,BN,8,positif,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.5646,-0.6656,0.4504,positif,positif,0.0,0.0,1.0
1220640360,2025-01-15,202501,2025,7,2,7.0,3.868887695,BEN,UNKNOWN,BN,16,positif,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.728,-1.5656,0.247,positif,positif,0.0,0.04,0.96
1220673637,2025-01-15,202501,2025,1,1,0.0,-11.88405797,BEN,UNKNOWN,BN,2,negatif,neutre,cooperation,sud_centre,0,Evenements neutres,0.2823,5.942,-1.0,negatif,negatif,1.0,0.0,0.0
1220673638,2025-01-15,202501,2025,11,3,-2.0,-11.88405797,BEN,UNKNOWN,BN,2,negatif,instable,cooperation,sud_centre,1,Conflits et tensions,0.2823,6.942,-1.0,negatif,negatif,1.0,0.0,0.0
