GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,NumArticles,sentiment_label,sentiment_binary,sentiment_enc,stability_label,event_polarity,geo_zone,month,media_intensity,tension_score,EventRootCode_enc,Actor1CountryCode_enc,Actor1Type1Code_enc,GoldsteinScale_scaled,AvgTone_scaled,NumMentions_scaled,cluster_id,cluster_name
1220118500,2025-01-12,202501,2025,01,1,0.0,-1.992031873,BEN,UNKNOWN,BN,4,4,neutre,1,1,neutre,cooperation,sud_centre,1,0.4135,0.996,0,5,25,-0.1211785046264978,-0.16617499985682965,-0.316552765442497,0,Evenements neutres
1220081424,2025-01-11,202501,2025,11,3,-2.0,-6.849315068,AFR,IGO,BN,10,10,negatif,0,0,instable,cooperation,sud_centre,1,0.6161,4.4247,10,0,9,-0.5561990713407007,-1.2179985101088222,1.1649307575057584,1,Conflits et tensions
1220130497,2025-01-12,202501,2025,19,4,-10.0,-7.228915663,UNKNOWN,UNKNOWN,BN07,6,6,negatif,0,0,tres_instable,conflit,sud_centre,1,0.5,8.6145,18,76,25,-2.2962813381975122,-1.3001993648454062,0.17727507554025476,1,Conflits et tensions
1220130604,2025-01-12,202501,2025,19,4,-10.0,-7.228915663,BEN,UNKNOWN,BN07,2,2,negatif,0,0,tres_instable,conflit,sud_centre,1,0.2823,8.6145,18,5,25,-2.2962813381975122,-1.3001993648454062,-0.8103806064252487,1,Conflits et tensions
1220130605,2025-01-12,202501,2025,01,1,0.0,-7.228915663,BEN,UNKNOWN,BN07,2,2,negatif,0,0,neutre,cooperation,sud_centre,1,0.2823,3.6145,0,5,25,-0.1211785046264978,-1.3001993648454062,-0.8103806064252487,0,Evenements neutres
1220130607,2025-01-12,202501,2025,01,1,0.4,-7.228915663,BEN,MIL,BN07,2,2,negatif,0,0,neutre,cooperation,sud_centre,1,0.2823,3.4145,0,5,16,-0.03417439128365724,-1.3001993648454062,-0.8103806064252487,0,Evenements neutres
1220153639,2025-01-12,202501,2025,08,2,7.0,-4.229195089,BEN,UNKNOWN,BN,8,8,negatif,0,0,tres_stable,cooperation,sud_centre,1,0.5646,-1.3854,7,5,25,1.401393478873212,-0.6506229458365899,0.6711029165230065,0,Evenements neutres
1220084219,2025-01-11,202501,2025,01,1,0.0,-2.617801047,BEN,UNKNOWN,BN,1,1,negatif,0,0,neutre,cooperation,sud_centre,1,0.1781,1.3089,0,5,25,-0.1211785046264978,-0.3016825876955844,-1.0572945269166245,0,Evenements neutres
1225275254,2025-02-07,202502,2025,01,1,-2.0,-7.384615385,BEN,UNKNOWN,BN,2,2,negatif,0,0,instable,cooperation,sud_centre,2,0.2823,4.6923,0,5,25,-0.5561990713407007,-1.3339154611825272,-0.8103806064252487,0,Evenements neutres
1225380893,2025-02-08,202502,2025,05,1,3.4,9.677419355,BEN,UNKNOWN,BN,2,2,positif,1,2,stable,cooperation,sud_centre,2,0.2823,3.1387,4,5,25,0.6183564587876469,2.360793813899846,-0.8103806064252487,0,Evenements neutres
1225359417,2025-02-08,202502,2025,05,1,3.4,1.597444089,UNKNOWN,COP,BN,1,1,neutre,1,1,stable,cooperation,sud_centre,2,0.1781,-0.9013,4,76,2,0.6183564587876469,0.6111103785626157,-1.0572945269166245,0,Evenements neutres
1225359827,2025-02-08,202502,2025,09,2,-2.0,1.597444089,NGA,UNKNOWN,BN,2,2,neutre,1,1,instable,cooperation,sud_centre,2,0.2823,1.7987,8,56,25,-0.5561990713407007,0.6111103785626157,-0.8103806064252487,0,Evenements neutres
1225380894,2025-02-08,202502,2025,04,1,2.8,9.677419355,BEN,UNKNOWN,BN,10,10,positif,1,2,stable,cooperation,sud_centre,2,0.6161,3.4387,3,5,25,0.4878502887733861,2.360793813899846,1.1649307575057584,0,Evenements neutres
1225381156,2025-02-08,202502,2025,04,1,1.9,9.677419355,UNKNOWN,GOV,BN,10,10,positif,1,2,stable,cooperation,sud_centre,2,0.6161,3.8887,3,76,7,0.2920910337519948,2.360793813899846,1.1649307575057584,0,Evenements neutres
1225359267,2025-02-08,202502,2025,05,1,3.4,1.597444089,BEN,UNKNOWN,BN,10,10,neutre,1,1,stable,cooperation,sud_centre,2,0.6161,-0.9013,4,5,25,0.6183564587876469,0.6111103785626157,1.1649307575057584,0,Evenements neutres
1225359547,2025-02-08,202502,2025,05,1,3.4,1.597444089,UNKNOWN,GOV,BN,1,1,neutre,1,1,stable,cooperation,sud_centre,2,0.1781,-0.9013,4,76,7,0.6183564587876469,0.6111103785626157,-1.0572945269166245,0,Evenements neutres
1225359548,2025-02-08,202502,2025,05,1,3.4,1.597444089,UNKNOWN,GOV,BN,1,1,neutre,1,1,stable,cooperation,sud_centre,2,0.1781,-0.9013,4,76,7,0.6183564587876469,0.6111103785626157,-1.0572945269166245,0,Evenements neutres
1225300404,2025-02-08,202502,2025,07,2,7.0,-6.784660767,UNKNOWN,MED,BN,8,8,negatif,0,0,tres_stable,cooperation,sud_centre,2,0.5646,-0.1077,6,76,15,1.401393478873212,-1.2039979029585717,0.6711029165230065,0,Evenements neutres
1225300405,2025-02-08,202502,2025,07,2,7.0,-6.784660767,UNKNOWN,MED,BN,2,2,negatif,0,0,tres_stable,cooperation,sud_centre,2,0.2823,-0.1077,6,76,15,1.401393478873212,-1.2039979029585717,-0.8103806064252487,0,Evenements neutres
1222735890,2025-01-25,202501,2025,04,1,2.8,3.931623932,BEN,UNKNOWN,BN09,6,6,positif,1,2,stable,cooperation,sud_centre,1,0.5,0.5658,3,5,25,0.4878502887733861,1.1165668523689993,0.17727507554025476,0,Evenements neutres
1222627543,2025-01-25,202501,2025,01,1,0.0,-3.75782881,BEN,UNKNOWN,BN,2,2,negatif,0,0,neutre,cooperation,sud_centre,1,0.2823,1.8789,0,5,25,-0.1211785046264978,-0.5485506320990334,-0.8103806064252487,0,Evenements neutres
1222735781,2025-01-25,202501,2025,04,1,1.9,3.931623932,UNKNOWN,UNKNOWN,BN09,6,6,positif,1,2,stable,cooperation,sud_centre,1,0.5,1.0158,3,76,25,0.2920910337519948,1.1165668523689993,0.17727507554025476,0,Evenements neutres
1222736075,2025-01-25,202501,2025,04,1,1.9,3.931623932,FRA,UNKNOWN,BN09,4,4,positif,1,2,stable,cooperation,sud_centre,1,0.4135,1.0158,3,25,25,0.2920910337519948,1.1165668523689993,-0.316552765442497,0,Evenements neutres
1222658485,2025-01-25,202501,2025,07,2,7.0,1.364425701,NGA,UNKNOWN,BN09,4,4,neutre,1,1,tres_stable,cooperation,sud_centre,1,0.4135,-2.8178,6,56,25,1.401393478873212,0.5606512620195004,-0.316552765442497,0,Evenements neutres
1222696481,2025-01-25,202501,2025,01,1,0.0,-1.143674053,BEN,UNKNOWN,BN18,10,10,neutre,1,1,neutre,cooperation,sud_centre,1,0.6161,0.5718,0,5,25,-0.1211785046264978,0.017533189342570744,1.1649307575057584,0,Evenements neutres
1222735891,2025-01-25,202501,2025,04,1,2.8,3.931623932,BEN,UNKNOWN,BN09,2,2,positif,1,2,stable,cooperation,sud_centre,1,0.2823,0.5658,3,5,25,0.4878502887733861,1.1165668523689993,-0.8103806064252487,0,Evenements neutres
